Tabela 20,,,,,,,
Tempo Médio das Viagem Produzidas por Tipo de Viagem e Zona de Origem – 2017,,,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,,,
Pesquisa Origem e Destino 2017,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,
,,,,,,,
Zona de,Tempo Médio de Viagem(minutos) por Tipo,,,,,,
 Origem , Coletivo , Individual , A pé , Bicicleta ,,,
509,  62 ,  30 ,  7 ,  -   ,,,
510,  -   ,  -   ,  -   ,  -   ,,,
511,  61 ,  27 ,  17 ,  60 ,,,
512,  50 ,  27 ,  20 ,  -   ,,,
513,  74 ,  28 ,  9 ,  60 ,,,
514,  64 ,  18 ,  14 ,  25 ,,,
515,  64 ,  29 ,  14 ,  22 ,,,
516,  49 ,  28 ,  7 ,  15 ,,,
517,  49 ,  33 ,  14 ,  -   ,,,
,   ,   ,   ,   ,,,
Total RMSP,  60 ,  26 ,  12 ,  22 ,,,
,,,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2017,,,,,,,
,,,,,,,
Notas:,,,,,,,
,,,,,,,
"São considerados como modo coletivo: metrô, trem, ônibus, transporte fretado e transporte escolar.",,,,,,,
,,,,,,,
"São considerados como modo individual: automóvel, táxi, motocicleta e outros.",,,,,,,
,,,,,,,
Modo não-motorizado é a soma dos modos a pé e bicicleta.,,,,,,,
,,,,,,,
Viagem a pé é aquela realizada a pé da origem ao destino; não se complementa com nenhum outro modo de transporte.  ,,,,,,,
"Foram consideradas todas as viagens a pé pelos motivos trabalho e escola, independentemente da distância percorrida;",,,,,,,
"para os demais motivos, quando a distância da viagem a pé  foi superior a 500 metros.",,,,,,,
